Wavelength (nm),Lens,Lens distance (cm),OD,Focal (cm),Camera position (cm),Nappe width (mm),Nappe thickness (mm),Beam power (mW)
405,Powell 5mm,0,5,12.7,11,6.74,0.27,33.3
405,Powell 5mm,0,5,12.7,11.1,6.87,0.25,33.3
405,Powell 5mm,0,5,12.7,11.2,7.01,0.24,33.3
405,Powell 5mm,0,5,12.7,11.3,7.1,0.23,33.3
405,Powell 5mm,0,5,12.7,11.4,7.22,0.22,33.3
405,Powell 5mm,0,5,12.7,11.5,7.34,0.2,33.3
405,Powell 5mm,0,5,12.7,11.6,7.45,0.19,33.4
405,Powell 5mm,0,5,12.7,11.7,7.59,0.18,33.4
405,Powell 5mm,0,5,12.7,11.8,7.71,0.16,33.4
405,Powell 5mm,0,5,12.7,11.9,7.82,0.15,33.4
405,Powell 5mm,0,5,12.7,12,7.95,0.13,33.4
405,Powell 5mm,0,5,12.7,12.1,8.06,0.13,33.3
405,Powell 5mm,0,5,12.7,12.2,8.19,0.11,33.3
405,Powell 5mm,0,5,12.7,12.3,8.32,0.1,33.3
