Wavelength (nm),Lens,Lens distance (cm),OD,Focal (cm),Camera position (cm),Nappe width (mm),Nappe thickness (mm),Beam power (mW)
405,Powell 5mm,0,5,12.7,11,6.67,0.27,36.3
405,Powell 5mm,0,5,12.7,11.1,6.8,0.25,36.3
405,Powell 5mm,0,5,12.7,11.2,6.9,0.25,36.3
405,Powell 5mm,0,5,12.7,11.3,7.07,0.22,36.3
405,Powell 5mm,0,5,12.7,11.4,7.18,0.22,36.3
405,Powell 5mm,0,5,12.7,11.5,7.29,0.21,36.3
405,Powell 5mm,0,5,12.7,11.6,7.4,0.2,36.3
405,Powell 5mm,0,5,12.7,11.7,7.53,0.18,36.4
405,Powell 5mm,0,5,12.7,11.8,7.65,0.18,36.4
405,Powell 5mm,0,5,12.7,11.9,7.78,0.16,36.4
405,Powell 5mm,0,5,12.7,12,7.91,0.15,36.4
405,Powell 5mm,0,5,12.7,12.1,8.02,0.14,36.4
405,Powell 5mm,0,5,12.7,12.2,8.14,0.12,36.5
