Wavelength         Intensity
  1.00e-07         1.21979e-10
  1.06e-07         1.74544e-10
  1.12e-07         2.50049e-10
  1.19e-07         3.58644e-10
  1.26e-07         5.15030e-10
  1.33e-07         7.40506e-10
  1.41e-07         1.06594e-09
  1.50e-07         1.53606e-09
  1.59e-07         2.21556e-09
  1.68e-07         3.19790e-09
  1.78e-07         4.61754e-09
  1.88e-07         6.66725e-09
  2.00e-07         9.62190e-09
  2.11e-07         1.38716e-08
  2.24e-07         1.99682e-08
  2.37e-07         2.86937e-08
  2.51e-07         4.11671e-08
  2.66e-07         5.90256e-08
  2.82e-07         8.47398e-08
  2.99e-07         1.22143e-07
  3.17e-07         1.77180e-07
  3.35e-07         2.58448e-07
  3.55e-07         3.75985e-07
  3.76e-07         5.35982e-07
  3.99e-07         7.34736e-07
  4.22e-07         9.67583e-07
  4.47e-07         1.25699e-06
  4.74e-07         1.67406e-06
  5.02e-07         2.34170e-06
  5.32e-07         3.37569e-06
  5.63e-07         4.63916e-06
  5.97e-07         5.78502e-06
  6.32e-07         6.97674e-06
  6.69e-07         9.02615e-06
  7.09e-07         1.26505e-05
  7.51e-07         1.57504e-05
  7.96e-07         1.74763e-05
  8.43e-07         2.08987e-05
  8.93e-07         2.72283e-05
  9.46e-07         2.82878e-05
  1.00e-06         2.91836e-05
  1.06e-06         3.42863e-05
  1.12e-06         2.99820e-05
  1.19e-06         2.91368e-05
  1.26e-06         2.33304e-05
  1.34e-06         1.64300e-05
  1.42e-06         1.14404e-05
  1.50e-06         9.35182e-06
  1.59e-06         1.24331e-05
  1.68e-06         2.63090e-05
  1.78e-06         4.48257e-05
  1.89e-06         7.33813e-05
  2.00e-06         9.52924e-05
  2.12e-06         9.42638e-05
  2.24e-06         9.22021e-05
  2.38e-06         5.40345e-05
  2.52e-06         2.52200e-05
  2.67e-06         2.44032e-05
  2.83e-06         4.09087e-05
  2.99e-06         5.74474e-05
  3.17e-06         4.96542e-05
  3.36e-06         3.05214e-05
  3.56e-06         5.01160e-05
  3.77e-06         1.50421e-04
  3.99e-06         2.11123e-04
  4.23e-06         1.48173e-04
  4.48e-06         3.14635e-05
  4.75e-06         9.32217e-05
  5.03e-06         2.44583e-04
  5.33e-06         2.18209e-04
  5.64e-06         1.77360e-04
  5.98e-06         2.07846e-04
  6.33e-06         1.09971e-04
  6.71e-06         2.50643e-04
  7.11e-06         3.95124e-04
  7.53e-06         2.39944e-04
  7.97e-06         3.14410e-04
  8.45e-06         4.81003e-04
  8.95e-06         4.04047e-04
  9.48e-06         3.94133e-04
  1.00e-05         5.81709e-04
  1.06e-05         4.71979e-04
  1.13e-05         7.71104e-04
  1.19e-05         6.93660e-04
  1.26e-05         6.70051e-04
  1.34e-05         1.01378e-03
  1.42e-05         1.06522e-03
  1.50e-05         1.05994e-03
  1.59e-05         1.13531e-03
  1.69e-05         1.23546e-03
  1.79e-05         1.52749e-03
  1.89e-05         1.66115e-03
  2.00e-05         1.65670e-03
  2.12e-05         1.85635e-03
  2.25e-05         2.40711e-03
  2.38e-05         2.61786e-03
  2.52e-05         3.09226e-03
  2.67e-05         3.52708e-03
  2.83e-05         3.40413e-03
  3.00e-05         4.15085e-03
