Wavelength         Intensity
  1.00e-07         9.85253e-10
  1.06e-07         1.42321e-09
  1.12e-07         2.05649e-09
  1.19e-07         2.97120e-09
  1.26e-07         4.29002e-09
  1.33e-07         6.18702e-09
  1.41e-07         8.90857e-09
  1.50e-07         1.28048e-08
  1.59e-07         1.83806e-08
  1.68e-07         2.63831e-08
  1.78e-07         3.79563e-08
  1.88e-07         5.48915e-08
  2.00e-07         7.99404e-08
  2.11e-07         1.16874e-07
  2.24e-07         1.69394e-07
  2.37e-07         2.38256e-07
  2.51e-07         3.20152e-07
  2.66e-07         4.15373e-07
  2.82e-07         5.39798e-07
  2.99e-07         7.30348e-07
  3.17e-07         1.04207e-06
  3.35e-07         1.49802e-06
  3.55e-07         1.97923e-06
  3.76e-07         2.38551e-06
  3.99e-07         2.89403e-06
  4.22e-07         3.90300e-06
  4.47e-07         5.39453e-06
  4.74e-07         6.25649e-06
  5.02e-07         6.86132e-06
  5.32e-07         8.73144e-06
  5.63e-07         1.05319e-05
  5.97e-07         1.03292e-05
  6.32e-07         1.14187e-05
  6.69e-07         1.19102e-05
  7.09e-07         9.79219e-06
  7.51e-07         9.78890e-06
  7.96e-07         6.58682e-06
  8.43e-07         5.32118e-06
  8.93e-07         3.20386e-06
  9.46e-07         4.39626e-06
  1.00e-06         7.28556e-06
  1.06e-06         1.52878e-05
  1.12e-06         2.39182e-05
  1.19e-06         3.37826e-05
  1.26e-06         3.76534e-05
  1.34e-06         3.77251e-05
  1.42e-06         2.68819e-05
  1.50e-06         1.34579e-05
  1.59e-06         7.75615e-06
  1.68e-06         9.99449e-06
  1.78e-06         2.40814e-05
  1.89e-06         2.40912e-05
  2.00e-06         1.59011e-05
  2.12e-06         1.49014e-05
  2.24e-06         3.81708e-05
  2.38e-06         6.95434e-05
  2.52e-06         6.33474e-05
  2.67e-06         1.79232e-05
  2.83e-06         1.67049e-05
  2.99e-06         8.20719e-05
  3.17e-06         9.31054e-05
  3.36e-06         6.45452e-05
  3.56e-06         7.86619e-05
  3.77e-06         6.33687e-05
  3.99e-06         7.06670e-05
  4.23e-06         1.38135e-04
  4.48e-06         9.64636e-05
  4.75e-06         1.00225e-04
  5.03e-06         1.71667e-04
  5.33e-06         1.47242e-04
  5.64e-06         1.44646e-04
  5.98e-06         1.62271e-04
  6.33e-06         2.31167e-04
  6.71e-06         1.88090e-04
  7.11e-06         2.38403e-04
  7.53e-06         2.86617e-04
  7.97e-06         3.48003e-04
  8.45e-06         2.58027e-04
  8.95e-06         3.61223e-04
  9.48e-06         4.04517e-04
  1.00e-05         4.67269e-04
  1.06e-05         5.59522e-04
  1.13e-05         6.43733e-04
  1.19e-05         6.68020e-04
  1.26e-05         7.46171e-04
  1.34e-05         7.57971e-04
  1.42e-05         8.84075e-04
  1.50e-05         1.04199e-03
  1.59e-05         1.15922e-03
  1.69e-05         1.29051e-03
  1.79e-05         1.37443e-03
  1.89e-05         1.61600e-03
  2.00e-05         1.78521e-03
  2.12e-05         1.94190e-03
  2.25e-05         2.13735e-03
  2.38e-05         2.50065e-03
  2.52e-05         2.76795e-03
  2.67e-05         3.03204e-03
  2.83e-05         3.46969e-03
  3.00e-05         3.73051e-03
