Wavelength         Intensity
  1.00e-07         6.10729e-10
  1.06e-07         8.80786e-10
  1.12e-07         1.27136e-09
  1.19e-07         1.83624e-09
  1.26e-07         2.65276e-09
  1.33e-07         3.83155e-09
  1.41e-07         5.53017e-09
  1.50e-07         7.97192e-09
  1.59e-07         1.14728e-08
  1.68e-07         1.64824e-08
  1.78e-07         2.36504e-08
  1.88e-07         3.39417e-08
  2.00e-07         4.88380e-08
  2.11e-07         7.06575e-08
  2.24e-07         1.02929e-07
  2.37e-07         1.50371e-07
  2.51e-07         2.17338e-07
  2.66e-07         3.04262e-07
  2.82e-07         4.07181e-07
  2.99e-07         5.28181e-07
  3.17e-07         6.89456e-07
  3.35e-07         9.39121e-07
  3.55e-07         1.34484e-06
  3.76e-07         1.92042e-06
  3.99e-07         2.50661e-06
  4.22e-07         3.01498e-06
  4.47e-07         3.69928e-06
  4.74e-07         5.05379e-06
  5.02e-07         6.86854e-06
  5.32e-07         7.85713e-06
  5.63e-07         8.72445e-06
  5.97e-07         1.13330e-05
  6.32e-07         1.32076e-05
  6.69e-07         1.29618e-05
  7.09e-07         1.48817e-05
  7.51e-07         1.48314e-05
  7.96e-07         1.23264e-05
  8.43e-07         1.21984e-05
  8.93e-07         8.03811e-06
  9.46e-07         6.52003e-06
  1.00e-06         3.81886e-06
  1.06e-06         5.42758e-06
  1.12e-06         9.19290e-06
  1.19e-06         1.91193e-05
  1.26e-06         3.07915e-05
  1.34e-06         4.15526e-05
  1.42e-06         4.78702e-05
  1.50e-06         4.54949e-05
  1.59e-06         3.46984e-05
  1.68e-06         1.71853e-05
  1.78e-06         8.75443e-06
  1.89e-06         1.51993e-05
  2.00e-06         2.63851e-05
  2.12e-06         2.80402e-05
  2.24e-06         1.49771e-05
  2.38e-06         1.71408e-05
  2.52e-06         4.76721e-05
  2.67e-06         8.71343e-05
  2.83e-06         7.59118e-05
  2.99e-06         2.32724e-05
  3.17e-06         2.81185e-05
  3.36e-06         1.01664e-04
  3.56e-06         1.15164e-04
  3.77e-06         7.71356e-05
  3.99e-06         9.18163e-05
  4.23e-06         7.55825e-05
  4.48e-06         8.95223e-05
  4.75e-06         1.79778e-04
  5.03e-06         1.07682e-04
  5.33e-06         1.30899e-04
  5.64e-06         2.14524e-04
  5.98e-06         1.81091e-04
  6.33e-06         1.82286e-04
  6.71e-06         2.17232e-04
  7.11e-06         2.69041e-04
  7.53e-06         2.75938e-04
  7.97e-06         3.27766e-04
  8.45e-06         3.86379e-04
  8.95e-06         4.26491e-04
  9.48e-06         3.67030e-04
  1.00e-05         4.67285e-04
  1.06e-05         5.31819e-04
  1.13e-05         5.75515e-04
  1.19e-05         7.02823e-04
  1.26e-05         7.95609e-04
  1.34e-05         8.45822e-04
  1.42e-05         9.27368e-04
  1.50e-05         9.64935e-04
  1.59e-05         1.14717e-03
  1.69e-05         1.30646e-03
  1.79e-05         1.41606e-03
  1.89e-05         1.64067e-03
  2.00e-05         1.71636e-03
  2.12e-05         1.96418e-03
  2.25e-05         2.23339e-03
  2.38e-05         2.48087e-03
  2.52e-05         2.78727e-03
  2.67e-05         3.13524e-03
  2.83e-05         3.42854e-03
  3.00e-05         3.73832e-03
