wf			M			R			g			P									T_surf				T_eff			Z_atmo
0.010000	0.009400	0.253300	0.146333	 245727.04395957948872819543	     1476.699139	  318.046065	    3.476886
0.010000	0.013300	0.283100	0.165752	 315269.39449696912197396159	     1501.375066	  351.450444	    1.356983
0.010000	0.018800	0.316700	0.187218	 402217.95466063870117068291	     1528.832643	  382.507531	    0.831874
0.010000	0.026300	0.353300	0.210453	 508247.15399740636348724365	     1558.251743	  410.539875	    0.600078
0.010000	0.036300	0.392600	0.235230	 634965.42408241564407944679	     1588.952906	  435.402170	    0.470622
0.010000	0.050200	0.436000	0.263765	 798361.31604291766416281462	     1623.237815	  459.072683	    0.384109
0.010000	0.066800	0.477800	0.292261	 980181.16173394746147096157	     1656.236396	  478.657673	    0.328430
0.010000	0.088300	0.521400	0.324418	1207745.16630654688924551010	     1691.974282	  497.083142	    0.285437
0.010000	0.115100	0.565900	0.358990	1478869.59363046195358037949	     1728.673425	  513.616086	    0.252041
0.010000	0.145300	0.606400	0.394669	1787444.09010127978399395943	     1764.775723	  528.009783	    0.226545
0.010000	0.188200	0.654200	0.439223	2213783.19933197693899273872	     1807.507346	  543.167425	    0.202109
0.010000	0.246700	0.708300	0.491157	2768262.94832100393250584602	     1854.310703	  557.974956	    0.180303
0.010000	0.325200	0.768200	0.550412	3476497.09411710966378450394	     1904.162984	  572.218906	    0.161241
0.010000	0.428900	0.833200	0.617083	4369714.42713459208607673645	     1956.252709	  585.900141	    0.144736
0.010000	0.564300	0.903100	0.691074	5480431.32012810558080673218	     2009.711084	  599.073502	    0.130518
0.010000	0.739300	0.977200	0.773285	6861919.00244228821247816086	     2064.434733	  611.989346	    0.118173
0.010000	0.963400	1.055200	0.864218	8570618.46061429940164089203	     2119.998277	  624.792357	    0.107416
0.010000	1.247900	1.136800	0.964490	10674838.61415067128837108612	     2176.052723	  637.615041	    0.097998
0.010000	1.606100	1.221400	1.075333	13269406.83934021741151809692	     2232.541696	  650.621826	    0.089677
0.010000	2.054100	1.308900	1.197553	16457175.57702139578759670258	     2289.115570	  663.875550	    0.082294
0.010000	2.610500	1.398700	1.332787	20383891.72379061952233314514	     2345.743126	  677.480894	    0.075684
0.010000	3.297300	1.490600	1.482253	25212183.87271169573068618774	     2402.110293	  691.444527	    0.069738
0.010000	4.140400	1.584400	1.647399	31143202.74597897008061408997	     2457.935045	  705.746660	    0.064364
0.010000	5.170200	1.679700	1.830332	38443755.45413772761821746826	     2513.068063	  720.368268	    0.059468
0.010000	6.422000	1.776300	2.032936	47425656.06522244960069656372	     2567.181439	  735.208785	    0.054988
0.010000	7.937600	1.873900	2.257784	58496621.34356563538312911987	     2620.039951	  750.153619	    0.050860
0.010000	9.765600	1.972500	2.506981	72122010.33608949184417724609	     2671.204979	  764.987447	    0.047043
0.010000	11.962800	2.071800	2.783705	88922646.03477169573307037354	     2720.389843	  779.490042	    0.043491
0.010000	14.595700	2.171600	3.091372	109665123.70120379328727722168	     2767.233748	  793.368027	    0.040167
0.010000	17.741900	2.271900	3.433269	135263747.71922630071640014648	     2811.274987	  806.241597	    0.037045
0.010000	21.458900	2.371600	3.810752	166643029.89917403459548950195	     2851.829925	  817.613515	    0.034117
0.010000	25.689900	2.466500	4.217803	204144816.20603895187377929688	     2887.770233	  826.853751	    0.031420
0.010000	30.505100	2.556400	4.662307	249440907.97358858585357666016	     2919.456063	  833.734455	    0.028888
0.010000	35.997200	2.642000	5.150972	304469782.54922610521316528320	     2946.853227	  837.872161	    0.026486
0.010000	42.265500	2.723700	5.690541	371597639.86222672462463378906	     2969.756421	  838.797360	    0.024192
0.010000	49.416400	2.801600	6.288469	453790814.40697288513183593750	     2987.871261	  835.984456	    0.021994
0.010000	57.563700	2.875900	6.951639	554549460.65922093391418457031	     3000.816767	  828.891995	    0.019886
0.010000	66.828500	2.946700	7.687337	678137471.02533817291259765625	     3008.212627	  817.012047	    0.017869
0.010000	77.339000	3.013800	8.504637	829998674.14318037033081054688	     3009.700317	  799.881800	    0.015942
0.010000	89.231400	3.077400	9.411002	1016336737.34613227844238281250	     3004.947487	  777.195290	    0.014112
0.010000	102.651300	3.137200	10.417563	1245369112.86956071853637695312	     2993.662417	  748.732488	    0.012382
0.010000	117.756200	3.193300	11.534278	1526675335.22167754173278808594	     2975.616009	  714.513477	    0.010760
0.010000	134.718900	3.245500	12.774720	1872701724.85265898704528808594	     2950.598142	  674.701372	    0.009249
0.010000	153.732900	3.294100	14.150746	2297865112.53160285949707031250	     2918.515686	  629.792272	    0.007858
0.010000	175.017800	3.338900	15.680556	2821556819.89953660964965820312	     2879.228438	  580.372569	    0.006588
0.010000	198.826200	3.380100	17.382034	3467105337.67549800872802734375	     2832.699555	  527.340010	    0.005444
0.010000	225.450100	3.417900	19.276039	4263845545.66779518127441406250	     2778.936104	  471.786407	    0.004428
0.010000	255.228000	3.452400	21.388099	5249406576.84516048431396484375	     2717.951285	  414.926730	    0.003539
0.010000	288.549200	3.484000	23.743769	6469417395.69190120697021484375	     2649.915522	  358.180289	    0.002774
0.010000	325.857000	3.512800	26.375839	7983225953.79010868072509765625	     2574.968655	  302.915008	    0.002130
0.010000	367.649700	3.539000	29.319676	9864706978.48157310485839843750	     2493.375576	  250.495297	    0.001597
0.010000	414.477300	3.562900	32.612160	12204640065.50845336914062500000	     2405.568857	  202.182450	    0.001169
0.010000	466.937300	3.584700	36.294349	15116243539.12993431091308593750	     2312.079047	  158.976882	    0.000833
0.010000	525.664800	3.604400	40.413737	18742342800.19334411621093750000	     2213.485665	  121.528999	    0.000576
